Token,Wallet,EtherDelta,IDEX,Token store,Enclaves,Decentrex,Total,Bid (ETH),Estimated value (ETH),Token contract address
0XETH,3872.50527456,0,0,0,0,0,3872.50527456,,,0x22d1755515bef4afd277d8acd42adbac49c77d43
777,100,0,0,0,0,0,100,,,0xd8002cd05d5b2a85557e1caaa179cc2408d5ad42
ABT,0,75,0,0,0,0,75,0.0015102,0.11326499999999999,0xb98d4c97425d9908e66e53a6fdf673acca0be986
ADI,20,0,0,0,0,0,20,,,0x8810c63470d38639954c6b41aac545848c46484a
AIDOC,24,0,0,0,0,0,24,,,0x584b44853680ee34a0f337b712a8f66d816df151
ALP,36,0,0,0,0,0,36,,,0xf3dd3acf1662a564e15d7569fd80c105596e8846
ANN,100,0,0,0,0,0,100,,,0xe0e73e8fc3a0fa161695be1d75e1bc3e558957c4
ARD,50,0,0,0,0,0,50,0.000005,0.00025,0x75aa7b0d02532f3833b66c7f0ad35376d373ddf8
BCDC,20,0,0,0,0,0,20,0.000002629,0.00005258,0xb4c55b5a1faf5323e59842171c2492773a3783dd
BDG,10,0,0,0,0,0,10,0.000058005,0.0005800499999999999,0x1961b3331969ed52770751fc718ef530838b6dee
BEAUTY,5,0,0,0,0,0,5,,,0x623afe103fb8d189b56311e4ce9956ec0989b412
BEAUTY,10,0,0,0,0,0,10,,,0xa7d81c86f9934b56dd00fa826c319330d628d31f
BEC,21,0,0,0,0,0,21,,,0x3495ffcee09012ab7d827abf3e3b3ae428a38443
BEC,21,0,0,0,0,0,21,,,0xc5d105e63711398af9bbff092d4b6769c82f793d
Beercoin,250,0,0,0,0,0,250,,,0x7367a68039d4704f30bfbf6d948020c3b07dfc59
BETR,140,0,0,0,0,0,140,0.0001,0.014,0x763186eb8d4856d536ed4478302971214febc6a9
BITE,3805.89394068,0,0,0,0,0,3805.89394068,0.000000006,0.00002283536364408,0xf7dca20054469a1d548b20859a100b9ec6ff1f61
BKX,1,0,0,0,0,0,1,0.000416001,0.000416001,0x45245bc59219eeaaf6cd3f382e078a461ff9de7b
BLO,10000,0,0,0,0,0,10000,0.000000167,0.00167,0x959529102cfde07b1196bd27adedc196d75f84f6
BOBP,100,0,0,0,0,0,100,,,0x124448218ab51f333fef2a5ba3b84cfa9f67b9a3
BOY,10000,0,0,0,0,0,10000,,,0x1a1b161962a7efe85be39a24f18ad7d4a504e10c
BPT,12,0,0,0,0,0,12,0.00045,0.0054,0x327682779bab2bf4d1337e8974ab9de8275a7ca8
BSTN,150,0,0,0,0,0,150,,,0x2f8472dd7ecf7ca760c8f6b45db20ca7cf52f8d7
BTCQ,250,0,0,0,0,0,250,,,0x5fc8582bb390e1232dc50908cd35b38f540c72fd
BTK,1000,0,0,0,0,0,1000,0.000000255,0.000255,0xdb8646f5b487b5dd979fac618350e85018f557d4
BTL,200,0,0,0,0,0,200,0.000000523,0.00010460000000000001,0x5ecd84482176db90bb741ddc8c2f9ccc290e29ce
CAF,60,0,0,0,0,0,60,,,0x254f91949d4f57b22392ba0278069cf5a9105f05
CANDY,59306.68522846,0,0,0,0,0,59306.68522846,,,0x45555629aabfea138ead1c1e5f2ac3cce2add830
CEDEX,10,0,0,0,0,0,10,,,0xf4065e4477e91c177ded71a7a6fb5ee07dc46bc9
CEHH,75,0,0,0,0,0,75,0.000000342,0.00002565,0x4f38f4229924bfa28d58eeda496cc85e8016bccc
CEL,851.4782,0,0,0,0,0,851.4782,,,0xaaaebe6fe48e54f431b0c390cfaf0b017d09d42d
CIC,30,0,0,0,0,0,30,,,0xad640689e6950b7453729a4686edb3fdfd754616
CLT,971.8702812,0,0,0,0,0,971.8702812,,,0x4086f6c05207d0747499fcf41328d736a18c564b
CNN,88,0,0,0,0,0,88,,,0x8713d26637cf49e1b6b4a7ce57106aabc9325343
CRE,30,0,0,0,0,0,30,,,0x61f33da40594cec1e3dc900faf99f861d01e2e7d
CSAT,1000,0,0,0,0,0,1000,,,0x3565402f2936d3284264f03615d065803330e392
CSAT,1000,0,0,0,0,0,1000,,,0xdb6192baf0e72ffd88d33508f15caedd5c79d75d
CVT,0.6091225847,0,0,0,0,0,0.6091225847,,,0x4aac461c86abfa71e9d00d9a2cde8d74e4e1aeea
CVT,5,0,0,0,0,0,5,,,0xbe428c3867f05dea2a89fc76a102b544eac7f772
DAN,50,0,0,0,0,0,50,0.00010001,0.0050005,0x9b70740e708a083c6ff38df52297020f5dfaa5ee
